temperature,trial_count,predicate,yes_count,no_count,pos_proba,trial_total_time
1.0,10,Is blue box directly on top of green box? Answer 'Yes' or 'No'.,0,10,0.0,7.735682010650635
1.0,10,Is red box directly on top of green box? Answer 'Yes' or 'No'.,10,0,1.0,8.038381099700928
1.0,10,Is blue box directly on top of table? Answer 'Yes' or 'No'.,0,10,0.0,7.624027967453003
1.0,10,Is red box directly on top of table? Answer 'Yes' or 'No'.,0,10,0.0,8.735283136367798
1.0,10,Is robot holding cyan box? Answer 'Yes' or 'No'.,9,1,0.9,7.971340894699097
1.0,10,Is robot holding red box? Answer 'Yes' or 'No'.,0,10,0.0,7.476185083389282
1.0,10,Is robot hand free? Answer 'Yes' or 'No'.,3,7,0.3,7.067028999328613
1.0,10,Is robot hand full? Answer 'Yes' or 'No'.,6,4,0.6,8.599173784255981
1.0,10,Is green box clear? Answer 'Yes' or 'No'.,5,5,0.5,7.820764064788818
1.0,10,Is blue box clear? Answer 'Yes' or 'No'.,8,2,0.8,7.692087888717651
1.0,10,Is red box clear? Answer 'Yes' or 'No'.,7,3,0.7,8.75306487083435
1.0,10,Is cyan box clear? Answer 'Yes' or 'No'.,9,1,0.9,7.279610872268677
1.5,10,Is blue box directly on top of green box? Answer 'Yes' or 'No'.,0,10,0.0,7.267313241958618
1.5,10,Is red box directly on top of green box? Answer 'Yes' or 'No'.,10,0,1.0,7.229450941085815
1.5,10,Is blue box directly on top of table? Answer 'Yes' or 'No'.,1,9,0.1,6.591538906097412
1.5,10,Is red box directly on top of table? Answer 'Yes' or 'No'.,0,10,0.0,7.8701560497283936
1.5,10,Is robot holding cyan box? Answer 'Yes' or 'No'.,10,0,1.0,7.314333915710449
1.5,10,Is robot holding red box? Answer 'Yes' or 'No'.,0,10,0.0,6.432196140289307
1.5,10,Is robot hand free? Answer 'Yes' or 'No'.,6,4,0.6,8.488765001296997
1.5,10,Is robot hand full? Answer 'Yes' or 'No'.,6,4,0.6,7.780425071716309
1.5,10,Is green box clear? Answer 'Yes' or 'No'.,6,4,0.6,7.464611053466797
1.5,10,Is blue box clear? Answer 'Yes' or 'No'.,5,5,0.5,9.168003797531128
1.5,10,Is red box clear? Answer 'Yes' or 'No'.,5,5,0.5,8.183879852294922
1.5,10,Is cyan box clear? Answer 'Yes' or 'No'.,6,4,0.6,7.2164130210876465
2.0,10,Is blue box directly on top of green box? Answer 'Yes' or 'No'.,0,10,0.0,7.097372055053711
2.0,10,Is red box directly on top of green box? Answer 'Yes' or 'No'.,10,0,1.0,7.360479116439819
2.0,10,Is blue box directly on top of table? Answer 'Yes' or 'No'.,1,9,0.1,6.762814998626709
2.0,10,Is red box directly on top of table? Answer 'Yes' or 'No'.,0,10,0.0,6.69617486000061
2.0,10,Is robot holding cyan box? Answer 'Yes' or 'No'.,10,0,1.0,17.822530031204224
2.0,10,Is robot holding red box? Answer 'Yes' or 'No'.,0,10,0.0,7.557843923568726
2.0,10,Is robot hand free? Answer 'Yes' or 'No'.,3,7,0.3,6.835651159286499
2.0,10,Is robot hand full? Answer 'Yes' or 'No'.,5,5,0.5,8.196285963058472
2.0,10,Is green box clear? Answer 'Yes' or 'No'.,5,5,0.5,6.992369174957275
2.0,10,Is blue box clear? Answer 'Yes' or 'No'.,6,4,0.6,13.589932203292847
2.0,10,Is red box clear? Answer 'Yes' or 'No'.,10,0,1.0,8.184247016906738
2.0,10,Is cyan box clear? Answer 'Yes' or 'No'.,8,2,0.8,7.7878711223602295
